               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.010129,           0.0060597,            0.012157,             0.64239,             0.92562,             0.79457,             0.78892,           0.0035927,          0.00090726,           0.0064594,           0.0076679,           0.0076679,           0.0076679
                  36,           0.0099768,            0.005918,            0.013158,             0.56066,             0.89655,             0.62494,             0.61477,           0.0072028,             0.00104,            0.010303,            0.007543,            0.007543,            0.007543
                  37,            0.010397,           0.0061828,            0.012702,             0.61758,             0.93879,             0.80545,             0.72593,           0.0032528,           0.0012865,           0.0070614,            0.007416,            0.007416,            0.007416
                  38,             0.01063,            0.005976,            0.012454,             0.68305,             0.92857,             0.90421,             0.88642,           0.0033446,           0.0018574,            0.006162,           0.0072872,           0.0072872,           0.0072872
                  39,           0.0099276,           0.0057878,            0.012064,             0.74738,              0.9399,             0.89331,             0.73057,            0.004384,           0.0015243,           0.0054699,           0.0071566,           0.0071566,           0.0071566
                  40,           0.0095607,           0.0054006,            0.011844,             0.75004,             0.87678,             0.88298,             0.85431,           0.0018867,          0.00091398,           0.0062105,           0.0070243,           0.0070243,           0.0070243
                  41,           0.0094077,           0.0058093,            0.013342,             0.85703,             0.89232,             0.94447,             0.93678,           0.0027916,          0.00080029,           0.0047537,           0.0068906,           0.0068906,           0.0068906
                  42,           0.0097511,           0.0057342,            0.012012,             0.73742,             0.87931,              0.8995,             0.87382,           0.0018449,           0.0013905,           0.0059125,           0.0067555,           0.0067555,           0.0067555
                  43,           0.0092444,           0.0057393,            0.011378,              0.6948,             0.88282,             0.77505,             0.73059,           0.0037888,          0.00097293,           0.0066578,           0.0066191,           0.0066191,           0.0066191
                  44,           0.0091588,           0.0052567,            0.011414,             0.51906,             0.77586,             0.71273,             0.68416,           0.0023424,           0.0015215,              0.0142,           0.0064816,           0.0064816,           0.0064816
                  45,           0.0082392,           0.0056241,            0.011106,             0.59656,             0.94828,             0.82083,             0.79865,            0.002584,          0.00078588,           0.0084566,           0.0063432,           0.0063432,           0.0063432
                  46,            0.008042,           0.0054537,            0.011586,             0.75084,             0.90542,             0.89501,             0.88831,           0.0029005,          0.00076028,           0.0055589,            0.006204,            0.006204,            0.006204
                  47,           0.0079867,           0.0049139,            0.010626,             0.81234,             0.88522,             0.92135,             0.82834,           0.0066719,           0.0013513,           0.0051881,            0.006064,            0.006064,            0.006064
                  48,           0.0076662,           0.0047877,             0.01043,             0.80568,             0.82512,             0.86137,             0.80694,           0.0030888,          0.00087265,           0.0060304,           0.0059235,           0.0059235,           0.0059235
                  49,           0.0083652,           0.0051218,            0.010993,             0.61511,             0.95703,             0.84332,             0.84016,           0.0026661,           0.0011572,           0.0076892,           0.0057826,           0.0057826,           0.0057826
                  50,           0.0074116,           0.0048747,            0.010379,             0.61198,             0.89698,             0.76535,             0.76219,           0.0022898,            0.001689,           0.0079041,           0.0056413,           0.0056413,           0.0056413
                  51,           0.0076641,           0.0052376,            0.011804,             0.61864,             0.93103,             0.86891,             0.85871,           0.0018619,          0.00079004,           0.0090817,              0.0055,              0.0055,              0.0055
                  52,           0.0077687,           0.0046289,            0.011511,             0.73641,              0.8618,             0.84493,             0.84256,           0.0027764,          0.00084779,           0.0062623,           0.0053587,           0.0053587,           0.0053587
                  53,           0.0080605,           0.0046407,            0.011041,             0.66798,             0.94828,             0.91587,             0.91519,           0.0021675,           0.0009469,           0.0079028,           0.0052174,           0.0052174,           0.0052174
                  54,           0.0073526,           0.0049602,             0.01029,             0.90637,             0.87906,             0.94072,             0.91983,           0.0034351,           0.0012735,           0.0046292,           0.0050765,           0.0050765,           0.0050765
                  55,           0.0066041,           0.0046385,            0.010723,              0.8061,             0.88522,               0.912,               0.912,           0.0024104,           0.0008499,           0.0050733,            0.004936,            0.004936,            0.004936
                  56,           0.0063929,           0.0047868,            0.010018,             0.87991,              0.9399,             0.96802,             0.96613,           0.0025199,          0.00077546,           0.0034254,            0.004796,            0.004796,            0.004796
                  57,           0.0068037,           0.0046447,            0.010661,             0.87538,             0.92857,              0.9696,             0.94729,           0.0016155,           0.0009301,           0.0037396,           0.0046568,           0.0046568,           0.0046568
                  58,           0.0064091,           0.0044253,           0.0099694,             0.86143,             0.93368,             0.96509,             0.96509,           0.0037591,           0.0011721,           0.0033276,           0.0045184,           0.0045184,           0.0045184
                  59,           0.0059193,           0.0041063,           0.0095141,             0.80402,             0.96539,             0.95228,             0.92001,           0.0020447,           0.0009173,           0.0038767,           0.0043809,           0.0043809,           0.0043809
                  60,           0.0063561,           0.0042625,           0.0099471,             0.75375,             0.89655,             0.96031,             0.95193,           0.0016586,           0.0010484,           0.0072486,           0.0042445,           0.0042445,           0.0042445
                  61,           0.0062927,           0.0042872,           0.0090837,             0.73653,              0.9309,             0.95984,             0.95745,           0.0014675,           0.0010598,           0.0082001,           0.0041094,           0.0041094,           0.0041094
                  62,           0.0059014,           0.0042687,            0.009536,             0.91939,             0.92857,               0.973,             0.96885,           0.0017019,           0.0012678,           0.0039135,           0.0039757,           0.0039757,           0.0039757
                  63,           0.0055757,           0.0041564,           0.0094605,               0.692,             0.97086,             0.94321,             0.94205,           0.0018207,           0.0012617,           0.0073874,           0.0038434,           0.0038434,           0.0038434
                  64,           0.0061022,            0.004145,            0.010807,             0.83494,              0.9231,             0.94652,             0.94535,           0.0016108,           0.0017597,           0.0041757,           0.0037128,           0.0037128,           0.0037128
                  65,           0.0061345,           0.0042696,            0.009673,             0.73114,             0.95714,             0.95131,             0.95131,           0.0014946,           0.0012725,           0.0066949,            0.003584,            0.003584,            0.003584
                  66,           0.0052682,           0.0039721,           0.0087802,             0.95226,             0.93437,             0.98412,             0.98412,           0.0016536,           0.0015455,           0.0028773,            0.003457,            0.003457,            0.003457
                  67,           0.0048144,           0.0036893,           0.0083809,             0.62471,             0.99923,             0.94229,             0.91656,           0.0017497,           0.0013633,            0.011283,           0.0033321,           0.0033321,           0.0033321
                  68,           0.0051976,           0.0038097,           0.0085526,             0.87837,             0.90036,              0.9696,             0.96168,           0.0013292,           0.0013489,           0.0035234,           0.0032093,           0.0032093,           0.0032093
                  69,           0.0060482,           0.0038375,           0.0089939,             0.79007,             0.96481,             0.93892,             0.93517,           0.0016545,           0.0012361,            0.004301,           0.0030888,           0.0030888,           0.0030888
                  70,           0.0048657,           0.0036437,           0.0085631,             0.85981,             0.92057,              0.9673,             0.96448,           0.0014747,           0.0012705,           0.0041854,           0.0029706,           0.0029706,           0.0029706
                  71,           0.0049861,           0.0036789,            0.007365,             0.86154,             0.93101,             0.96791,             0.96661,           0.0013109,           0.0010958,           0.0037011,            0.002855,            0.002855,            0.002855
                  72,           0.0047053,           0.0035853,           0.0072943,             0.92191,             0.92682,             0.97912,             0.97278,           0.0014662,           0.0014188,           0.0028043,           0.0027419,           0.0027419,           0.0027419
                  73,           0.0051824,           0.0037048,           0.0084804,             0.84531,             0.89251,             0.97622,             0.97622,           0.0011928,           0.0014773,           0.0041134,           0.0026316,           0.0026316,           0.0026316
                  74,           0.0044889,            0.003766,           0.0079331,             0.97126,             0.87367,             0.97495,             0.97495,           0.0014387,           0.0012081,            0.002738,           0.0025241,           0.0025241,           0.0025241
                  75,           0.0042321,           0.0036581,           0.0082859,             0.90738,             0.86847,              0.9764,               0.956,           0.0016263,           0.0011436,           0.0037394,           0.0024195,           0.0024195,           0.0024195
                  76,           0.0042889,           0.0035152,           0.0089592,             0.84024,             0.93103,             0.97812,             0.97216,           0.0014558,           0.0011903,           0.0039185,            0.002318,            0.002318,            0.002318
                  77,           0.0047952,           0.0036917,           0.0083158,             0.92357,             0.93328,             0.97372,              0.9531,           0.0023881,          0.00092718,           0.0028969,           0.0022196,           0.0022196,           0.0022196
                  78,           0.0040415,            0.003425,           0.0076215,             0.80489,             0.93103,             0.97334,             0.97334,           0.0016754,           0.0010758,           0.0042109,           0.0021245,           0.0021245,           0.0021245
                  79,           0.0043009,           0.0035417,           0.0081673,             0.70257,             0.91379,             0.89324,             0.89324,           0.0012952,           0.0015143,            0.011338,           0.0020327,           0.0020327,           0.0020327
                  80,            0.003949,            0.003336,           0.0094762,             0.75933,              0.9306,             0.96775,             0.96775,           0.0019507,           0.0015545,           0.0065188,           0.0019443,           0.0019443,           0.0019443
                  81,           0.0039551,            0.003535,           0.0087725,             0.88835,               0.931,             0.98114,             0.98114,           0.0011423,           0.0014762,            0.003736,           0.0018594,           0.0018594,           0.0018594
                  82,           0.0043122,           0.0034065,           0.0079566,             0.97136,             0.94247,             0.98559,             0.98559,             0.00151,           0.0013569,           0.0023203,           0.0017781,           0.0017781,           0.0017781
                  83,           0.0037412,           0.0035095,           0.0080382,             0.92169,             0.93424,             0.97976,             0.97976,           0.0011444,           0.0014017,           0.0024795,           0.0017005,           0.0017005,           0.0017005
                  84,           0.0037776,           0.0032685,           0.0065942,             0.93836,             0.89581,             0.97493,             0.97493,           0.0016037,           0.0015841,           0.0028007,           0.0016267,           0.0016267,           0.0016267
                  85,           0.0044861,            0.003198,           0.0094017,               0.828,             0.97796,             0.97008,             0.97008,             0.00115,           0.0017359,           0.0032977,           0.0015566,           0.0015566,           0.0015566
                  86,           0.0036138,           0.0033559,           0.0067142,             0.90798,             0.92261,             0.97909,             0.97909,           0.0013674,           0.0017988,           0.0028149,           0.0014905,           0.0014905,           0.0014905
                  87,           0.0034678,           0.0032131,           0.0074707,             0.94842,             0.86928,             0.98098,             0.98098,           0.0013445,           0.0015589,           0.0028868,           0.0014283,           0.0014283,           0.0014283
                  88,           0.0039407,           0.0030878,           0.0071524,             0.88175,             0.92552,              0.9752,              0.9752,           0.0010726,           0.0015553,           0.0027512,           0.0013701,           0.0013701,           0.0013701
                  89,           0.0033618,           0.0032861,           0.0064178,             0.92207,              0.9399,             0.98256,             0.98256,           0.0012876,           0.0014029,           0.0025394,            0.001316,            0.001316,            0.001316
                  90,           0.0034739,           0.0031448,           0.0072379,             0.88727,             0.95637,             0.97883,             0.97883,           0.0013912,           0.0013855,           0.0028585,            0.001266,            0.001266,            0.001266
                  91,           0.0035622,           0.0030741,           0.0064371,             0.86532,             0.97143,              0.9784,              0.9784,           0.0013339,           0.0014706,           0.0031869,           0.0012202,           0.0012202,           0.0012202
                  92,           0.0041887,             0.00309,           0.0066742,             0.93052,             0.93695,             0.98184,             0.98184,           0.0008572,           0.0015458,           0.0024217,           0.0011787,           0.0011787,           0.0011787
                  93,           0.0048568,           0.0031089,           0.0066508,             0.92631,             0.95584,             0.98994,             0.98843,           0.0010896,           0.0015335,           0.0022811,           0.0011414,           0.0011414,           0.0011414
                  94,           0.0033391,           0.0033016,           0.0061465,             0.78307,             0.98571,              0.9874,             0.98311,           0.0015426,           0.0014808,           0.0046775,           0.0011084,           0.0011084,           0.0011084
                  95,           0.0034271,            0.003178,           0.0064301,             0.88371,              0.9693,             0.98086,             0.98086,           0.0011587,             0.00159,           0.0024439,           0.0010797,           0.0010797,           0.0010797
                  96,           0.0032444,           0.0030582,           0.0060013,             0.91181,             0.93282,             0.98078,             0.97641,           0.0013263,           0.0015853,           0.0029389,           0.0010554,           0.0010554,           0.0010554
                  97,           0.0035302,           0.0028701,           0.0063229,             0.93606,             0.93391,               0.977,               0.977,          0.00094429,             0.00142,           0.0026513,           0.0010355,           0.0010355,           0.0010355
                  98,            0.003535,           0.0029831,           0.0058311,             0.82883,                   1,             0.98071,             0.97952,            0.001152,           0.0016584,           0.0028559,             0.00102,             0.00102,             0.00102
                  99,           0.0032297,           0.0031959,            0.005731,              0.7884,             0.97829,             0.97337,             0.96594,            0.001347,           0.0018623,           0.0036623,           0.0010089,           0.0010089,           0.0010089
