               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067717,            0.028689,            0.019355,            0.065486,                 0.2,            0.052838,           0.0089858,             0.02526,            0.012892,           0.0091798,             0.00036,             0.00036,             0.09676
                   1,            0.043737,            0.026514,            0.018266,             0.15459,             0.65486,               0.245,             0.10698,            0.016851,             0.01056,           0.0089813,          0.00056575,          0.00056575,            0.093266
                   2,             0.03509,            0.024861,            0.018125,             0.44656,             0.50427,             0.42877,             0.24133,             0.01346,           0.0097618,           0.0089819,           0.0003575,           0.0003575,            0.089358
